Model,Pattern,Length,Occurrence count,Next result,Accuracy %,Stream,Pattern Structure
Model 1,SRBGBRSRBGSRSRSR,8,3,SR,100.0,Combined_SB_RG,
Model 1,SRSGSGSRBGBGSRBR,8,3,SG,100.0,Combined_SB_RG,
Model 1,SRBGSRBRSGBGSGBR,8,3,SR,100.0,Combined_SB_RG,
Model 1,BRBGSRSRBGBGBGBR,8,3,SR,100.0,Combined_SB_RG,
Model 1,SRSGSGBGSGBRBRBG,8,3,SG,100.0,Combined_SB_RG,
Model 1,SGSGBGSGBRBRBGSG,8,3,SR,100.0,Combined_SB_RG,
Model 1,SGBGSGBGSGBGSRBG,8,3,BG,100.0,Combined_SB_RG,
Model 1,BGSGBGSGBGSRBGBG,8,3,BG,100.0,Combined_SB_RG,
Model 1,BGSGBGSRBGBGBGBG,8,3,BG,100.0,Combined_SB_RG,
Model 1,SRBGBGBGBRBGSRBG,8,3,BG,100.0,Combined_SB_RG,
Model 1,BGSRBGBGBGSRSRBG,8,3,SR,100.0,Combined_SB_RG,
Model 1,BRSRBRSRSRBRBGSG,8,3,SG,100.0,Combined_SB_RG,
Model 1,SRBRSRBGBGSGSRSR,8,3,SR,100.0,Combined_SB_RG,
Model 1,BRSRBGBGSGSRSRSR,8,3,BG,100.0,Combined_SB_RG,
Model 1,SRSRSRBGBRSGSRBG,8,3,SG,100.0,Combined_SB_RG,
Model 1,SRSRBGBRSGSRBGSG,8,3,BR,100.0,Combined_SB_RG,
Model 1,SRBGBRSGSRBGSGBR,8,3,SG,100.0,Combined_SB_RG,
Model 1,BGBRSGSRBGSGBRSG,8,3,SR,100.0,Combined_SB_RG,
Model 1,BGSRSRBGSGBRSRSG,8,3,BR,100.0,Combined_SB_RG,
Model 1,BGBRBRSRBGSGSRBG,8,3,SG,100.0,Combined_SB_RG,
Model 1,BGSRSRSRSGBRBGSG,8,3,SR,100.0,Combined_SB_RG,
Model 1,SRSRBRSGSRSGSGSR,8,3,BG,100.0,Combined_SB_RG,
Model 1,SRSGSRBGBGBGBRBR,8,3,SR,100.0,Combined_SB_RG,
Model 1,BRBRSRSGBRBGSGBG,8,3,BR,100.0,Combined_SB_RG,
Model 1,BRSRSGBRBGSGBGBR,8,3,SR,100.0,Combined_SB_RG,
Model 1,BGBGSRSRBRSRBGSR,8,3,SR,100.0,Combined_SB_RG,
Model 1,SRSRBRSRSRBRBGBR,8,3,SR,100.0,Combined_SB_RG,
Model 1,BGSRBGSGSGSGBGBG,8,3,SG,100.0,Combined_SB_RG,
Model 1,BRSRBRBGBRBRBRBR,8,3,SR,100.0,Combined_SB_RG,
Model 1,SRSRBRSGSRBGBGSR,8,3,SR,100.0,Combined_SB_RG,
Model 1,SGSGSRBGBGSRSRBG,8,3,SR,100.0,Combined_SB_RG,
Model 1,SRBRSGBGBGBGBGSG,8,3,BG,100.0,Combined_SB_RG,
Model 1,BGSRSRSGSRBGBRBR,8,3,SR,100.0,Combined_SB_RG,
Model 1,SGBRBRBGSGSRSGBG,8,3,SR,100.0,Combined_SB_RG,
Model 1,SRBRBGSRSGSRBGBG,8,3,BG,100.0,Combined_SB_RG,
Model 1,SRBRBRBGBGBRBRSR,8,3,SG,100.0,Combined_SB_RG,
Model 1,BGSGBGSRSRSRBGBG,8,3,SR,100.0,Combined_SB_RG,
Model 1,BGSGSRSGBGSGBRBG,8,3,SG,100.0,Combined_SB_RG,
Model 1,SGBGSRBRSRSRSRSG,8,3,BG,100.0,Combined_SB_RG,
Model 1,SRSRBGSGSRSGBRBG,8,3,BG,100.0,Combined_SB_RG,
Model 2 (Structural),,8,3,SR,100.0,Combined_SB_RG,00012201
Model 2 (Structural),,8,3,SR,100.0,Combined_SB_RG,01023232
Model 2 (Structural),,8,3,BG,100.0,Combined_SB_RG,01220030
Model 2 (Structural),,8,3,SR,100.0,Combined_SB_RG,01230222
Model 2 (Structural),,8,3,SR,100.0,Combined_SB_RG,01110233
Model 2 (Structural),,8,3,SG,100.0,Combined_SB_RG,01123003
Model 2 (Structural),,8,3,SR,100.0,Combined_SB_RG,01012323
Model 2 (Structural),,8,3,SR,100.0,Combined_SB_RG,00101023
Model 2 (Structural),,8,3,BR,100.0,Combined_SB_RG,01002123
Model 2 (Structural),,8,3,SR,100.0,Combined_SB_RG,01101223
Model 2 (Structural),,8,3,BG,100.0,Combined_SB_RG,00012220
Model 2 (Structural),,8,3,BG,100.0,Combined_SB_RG,01101010
Model 2 (Structural),,8,3,BG,100.0,Combined_SB_RG,01120232
Model 2 (Structural),,8,3,BR,100.0,Combined_SB_RG,01022202
Model 2 (Structural),,8,3,SR,100.0,Combined_SB_RG,01001221
Model 2 (Structural),,8,3,BG,100.0,Combined_SB_RG,01022012
Model 2 (Structural),,8,3,SR,100.0,Combined_SB_RG,00100221
Model 2 (Structural),,9,6,BG,100.0,Combined_SB_RG,012331032
Model 2 (Structural),,9,6,SG,100.0,Combined_SB_RG,010213000
Model 2 (Structural),,9,5,SG,100.0,Combined_SB_RG,011110122
Model 2 (Structural),,9,5,SR,100.0,Combined_SB_RG,011212022
Model 2 (Structural),,9,5,SR,100.0,Combined_SB_RG,012031020
Model 2 (Structural),,9,4,6,100.0,Numbers,012341256
Model 2 (Structural),,9,4,4,100.0,Numbers,011233451
Model 2 (Structural),,9,4,SR,100.0,Combined_SB_RG,001232003
Model 2 (Structural),,9,4,BG,100.0,Combined_SB_RG,012202232
Model 2 (Structural),,9,4,SG,100.0,Combined_SB_RG,012122103
Model 2 (Structural),,9,4,BG,100.0,Combined_SB_RG,012103232
Model 2 (Structural),,9,4,SG,100.0,Combined_SB_RG,001202013
Model 2 (Structural),,9,4,BR,100.0,Combined_SB_RG,012120312
Model 2 (Structural),,9,4,BG,100.0,Combined_SB_RG,011223311
Model 2 (Structural),,9,4,BG,100.0,Combined_SB_RG,010202012
Model 2 (Structural),,9,4,SR,100.0,Combined_SB_RG,011222220
Model 2 (Structural),,9,4,BG,100.0,Combined_SB_RG,001001123
Model 2 (Structural),,9,4,SG,100.0,Combined_SB_RG,012313233
Model 2 (Structural),,9,4,BG,100.0,Combined_SB_RG,001111212
Model 2 (Structural),,9,4,SR,100.0,Combined_SB_RG,012211231
Model 2 (Structural),,9,4,BR,100.0,Combined_SB_RG,010200311
Model 2 (Structural),,9,4,BR,100.0,Combined_SB_RG,010220213
Model 2 (Structural),,9,4,BG,100.0,Combined_SB_RG,012120333
Model 2 (Structural),,9,4,SG,100.0,Combined_SB_RG,010100012
Model 2 (Structural),,9,4,SR,100.0,Combined_SB_RG,012112021
Model 2 (Structural),,9,4,SR,100.0,Combined_SB_RG,012132013
Model 2 (Structural),,9,4,SR,100.0,Combined_SB_RG,001112332
Model 2 (Structural),,9,4,SG,100.0,Combined_SB_RG,010223233
Model 2 (Structural),,9,4,BG,100.0,Combined_SB_RG,010211333
Model 2 (Structural),,9,3,2,100.0,Numbers,010231045
Model 2 (Structural),,9,3,2,100.0,Numbers,012340512
Model 2 (Structural),,9,3,7,100.0,Numbers,012234153
Model 2 (Structural),,9,3,5,100.0,Numbers,012230304
Model 2 (Structural),,9,3,6,100.0,Numbers,012314524
Model 2 (Structural),,9,3,9,100.0,Numbers,010213134
Model 2 (Structural),,9,3,3,100.0,Numbers,012343232
Model 2 (Structural),,9,3,6,100.0,Numbers,011233334
Model 2 (Structural),,9,3,0,100.0,Numbers,001120340
Model 2 (Structural),,9,3,1,100.0,Numbers,012314502
Model 2 (Structural),,9,3,6,100.0,Numbers,001234424
Model 2 (Structural),,9,3,2,100.0,Numbers,011212342
Model 2 (Structural),,9,3,9,100.0,Numbers,010213014
Model 2 (Structural),,9,3,8,100.0,Numbers,011202034
Model 2 (Structural),,9,3,8,100.0,Numbers,012134323
Model 2 (Structural),,9,3,0,100.0,Numbers,001234534
Model 2 (Structural),,9,3,5,100.0,Numbers,012313145
Model 2 (Structural),,9,3,5,100.0,Numbers,012311454
Model 2 (Structural),,9,3,6,100.0,Numbers,001234501
Model 2 (Structural),,9,3,0,100.0,Numbers,012314345
Model 1,SRBGBGBGBGSRBGSGSG,9,3,SG,100.0,Combined_SB_RG,
Model 1,SRBGBGBGSRBRBRSRBG,9,3,BG,100.0,Combined_SB_RG,
Model 1,SRBRBRBGSRSGBGSRSR,9,3,SR,100.0,Combined_SB_RG,
Model 1,SRSRBGBGBGSGBGBGSR,9,3,SG,100.0,Combined_SB_RG,
Model 1,BGBGBGSGBGBGSRSGBG,9,3,SG,100.0,Combined_SB_RG,
Model 1,BGBRSRSRSRBGBRSRBR,9,3,SR,100.0,Combined_SB_RG,
Model 1,BRSRSRSRBGBRSRBRSR,9,3,SR,100.0,Combined_SB_RG,
Model 1,SRSRSRBGBRSRBRSRSR,9,3,BR,100.0,Combined_SB_RG,
Model 1,BRSRBGBGSRSRSGBGBG,9,3,SR,100.0,Combined_SB_RG,
Model 1,BGBGSRSRBRBRBGBGBG,9,3,BG,100.0,Combined_SB_RG,
Model 1,BGSRSRBRBRBGBGBGBG,9,3,SG,100.0,Combined_SB_RG,
Model 1,SRSRBRBRBGBGBGBGSG,9,3,SR,100.0,Combined_SB_RG,
Model 1,SGSRSRSGSGBRBGBGBR,9,3,BG,100.0,Combined_SB_RG,
Model 1,BGBGBGSRSRBGSRSGSR,9,3,SG,100.0,Combined_SB_RG,
Model 1,SRBGBRBGSRBGBGSGBG,9,3,BG,100.0,Combined_SB_RG,
Model 1,SRBGBGSGSRSRSGSRBR,9,3,BR,100.0,Combined_SB_RG,
Model 1,SGSRBRBRBRBGSGSRBG,9,3,SR,100.0,Combined_SB_RG,
Model 1,SRSGSGSRBGBGSRBRSG,9,3,SG,100.0,Combined_SB_RG,
Model 1,SRBRBGSRSRBGBGBGBR,9,3,SR,100.0,Combined_SB_RG,
Model 1,SRSGSGBGSGBRBRBGSG,9,3,SR,100.0,Combined_SB_RG,
Model 1,SGSGBGSGBRBRBGSGSR,9,3,SG,100.0,Combined_SB_RG,
Model 1,SGBGSGBGSGBGSRBGBG,9,3,BG,100.0,Combined_SB_RG,
Model 1,SGBGSGBGSRBGBGBGBG,9,3,BG,100.0,Combined_SB_RG,
Model 1,SRBRSRBGBGSGSRSRSR,9,3,BG,100.0,Combined_SB_RG,
Model 1,SRSRSRBGBRSGSRBGSG,9,3,BR,100.0,Combined_SB_RG,
Model 1,SRSRBGBRSGSRBGSGBR,9,3,SG,100.0,Combined_SB_RG,
Model 1,SRBGBRSGSRBGSGBRSG,9,3,SR,100.0,Combined_SB_RG,
Model 1,BRBRSRSGBRBGSGBGBR,9,3,SR,100.0,Combined_SB_RG,
Model 1,SRSRBRSGSRBGBGSRSR,9,3,SG,100.0,Combined_SB_RG,
Model 1,BGSGBRBRBGSGSRSGBG,9,3,SR,100.0,Combined_SB_RG,
Model 1,SRSRBGBGSGBGBGBGBG,9,3,BR,100.0,Combined_SB_RG,
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,010121021
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,001110231
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,001211203
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012303202
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,012113210
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,012200132
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012133321
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011122132
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,011123323
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010102013
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012103231
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,010203113
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010233203
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,010213022
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011101201
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012010332
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012312223
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,011221031
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,010021103
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012210320
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,000111213
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012030122
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011112213
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012201221
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012213212
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012310223
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012100100
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012311321
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,012113320
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,001112110
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012000302
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,012223213
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,001111123
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010121220
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012122012
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,011011101
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012312122
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012010222
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012100202
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012021211
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,001012201
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012121113
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,012011112
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012123323
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,012133002
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012030131
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012020231
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012102102
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011000023
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012132321
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,012230231
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012333220
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011212311
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010211211
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012332203
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,001122223
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,010000022
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,012113311
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010212111
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010021301
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012310122
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011021030
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,001201313
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,010123100
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,010230112
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,011112130
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012100213
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,011230221
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,010233231
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012110212
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010023220
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012212223
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,010120203
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012101131
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012002122
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011220321
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,011011002
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,001233223
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010233123
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,011202101
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,012113121
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,010211221
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,010023030
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,000123122
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,011212002
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012031223
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011220133
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011203313
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,000122220
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,011123011
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012001110
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,000110100
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012313322
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,011020202
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,000011000
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011111212
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012223212
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,012100200
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,012103203
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,000112212
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012023321
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,001211023
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011021122
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012321210
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,012101033
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,011213301
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012031131
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,012332212
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,001001232
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012112113
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,010231003
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012220322
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,001203100
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010110020
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010202022
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,010112023
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012133203
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012030301
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010221031
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012003200
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012113303
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,001020213
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,010200221
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012120220
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010202311
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,011233311
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,001231032
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,000120300
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,001202100
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,000112030
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011223121
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,001203300
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011202020
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,001122023
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,010111221
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012001301
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,001012032
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,001221232
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,001223101
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,011021013
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,000120011
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,010102101
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,011210123
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,001101232
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,001020230
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010200332
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,000110230
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,011112112
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,010023221
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,012123112
Model 2 (Structural),,9,3,BR,100.0,Combined_SB_RG,011233000
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,011120323
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,010100202
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,001022112
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012111302
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012122201
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012310310
Model 2 (Structural),,9,3,BG,100.0,Combined_SB_RG,012310311
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,012303012
Model 2 (Structural),,9,3,SG,100.0,Combined_SB_RG,012102031
Model 2 (Structural),,9,3,SR,100.0,Combined_SB_RG,001233233
Model 3 (Cycle),GGGRRGGGGG,10,17,G -> G -> G -> G -> G -> G -> R -> R,100.0,R/G,
Model 3 (Cycle),GRRRGGGGRR,10,16,R -> R -> G -> G -> G -> G -> G -> G,100.0,R/G,
Model 3 (Cycle),GRRGGGRRRR,10,15,R -> G -> G -> G -> R -> G -> R,100.0,R/G,
Model 3 (Cycle),SBSSSBBBSS,10,14,B -> B -> S -> B -> S -> B -> B,100.0,S/B,
Model 3 (Cycle),GGGGRGRRRG,10,14,G -> G -> G -> G -> G -> R,100.0,R/G,
Model 3 (Cycle),RGRGRGGGRG,10,14,R -> R -> G -> R -> G -> G,100.0,R/G,
Model 3 (Cycle),BSBSBBSSBS,10,13,S -> B -> S -> S -> B,100.0,S/B,
Model 3 (Cycle),SSBSSBBBSS,10,11,B -> S -> B -> B,100.0,S/B,
Model 3 (Cycle),RGGRGRGRGR,10,11,R -> G -> G -> R -> G,100.0,R/G,
Model 3 (Cycle),SSSSBBSBSB,10,10,B -> B -> B -> S,100.0,S/B,
Model 1,SSSBSBSBBS,10,10,B,100.0,S/B,
Model 2 (Structural),,10,4,BG,100.0,Combined_SB_RG,0122021120
Model 2 (Structural),,10,4,BR,100.0,Combined_SB_RG,0010012110
Model 2 (Structural),,10,4,SR,100.0,Combined_SB_RG,0012301323
Model 2 (Structural),,10,4,SR,100.0,Combined_SB_RG,0011200230
Model 2 (Structural),,10,4,SR,100.0,Combined_SB_RG,0010020013
Model 2 (Structural),,10,3,0,100.0,Numbers,0123454263
Model 2 (Structural),,10,3,2,100.0,Numbers,0012340512
Model 2 (Structural),,10,3,1,100.0,Numbers,0012314156
Model 2 (Structural),,10,3,1,100.0,Numbers,0123456621
Model 2 (Structural),,10,3,1,100.0,Numbers,0123452056
Model 2 (Structural),,10,3,5,100.0,Numbers,0122334506
Model 2 (Structural),,10,3,8,100.0,Numbers,0012234563
Model 2 (Structural),,10,3,8,100.0,Numbers,0123445652
Model 2 (Structural),,10,3,6,100.0,Numbers,0123435661
Model 2 (Structural),,10,3,0,100.0,Numbers,0012232452
Model 2 (Structural),,10,3,0,100.0,Numbers,0123404205
Model 2 (Structural),,10,3,5,100.0,Numbers,0120345402
Model 2 (Structural),,10,3,6,100.0,Numbers,0122344445
Model 2 (Structural),,10,3,5,100.0,Numbers,0120003435
Model 2 (Structural),,10,3,1,100.0,Numbers,0121343566
Model 2 (Structural),,10,3,0,100.0,Numbers,0123043425
Model 2 (Structural),,10,3,9,100.0,Numbers,0123034561
Model 2 (Structural),,10,3,6,100.0,Numbers,0110234424
Model 2 (Structural),,10,3,2,100.0,Numbers,0122020340
Model 2 (Structural),,10,3,4,100.0,Numbers,0122324562
Model 2 (Structural),,10,3,7,100.0,Numbers,0120314056
Model 2 (Structural),,10,3,6,100.0,Numbers,0123455167
Model 2 (Structural),,10,3,8,100.0,Numbers,0122300456
Model 2 (Structural),,10,3,0,100.0,Numbers,0112324456
Model 2 (Structural),,10,3,7,100.0,Numbers,0122344250
Model 2 (Structural),,10,3,8,100.0,Numbers,0122343561
Model 2 (Structural),,10,3,0,100.0,Numbers,0120324345
Model 2 (Structural),,10,3,5,100.0,Numbers,0123456127
Model 1,BGBRSRSRSRBGBRSRBRSR,10,3,SR,100.0,Combined_SB_RG,
Model 1,BRSRSRSRBGBRSRBRSRSR,10,3,BR,100.0,Combined_SB_RG,
Model 1,BRSRBGBGSRSRSGBGBGSR,10,3,SR,100.0,Combined_SB_RG,
Model 1,BGBGSRSRBRBRBGBGBGBG,10,3,SG,100.0,Combined_SB_RG,
Model 1,BGSRSRBRBRBGBGBGBGSG,10,3,SR,100.0,Combined_SB_RG,
Model 1,SRSGSGBGSGBRBRBGSGSR,10,3,SG,100.0,Combined_SB_RG,
Model 1,SRSRSRBGBRSGSRBGSGBR,10,3,SG,100.0,Combined_SB_RG,
Model 1,SRSRBGBRSGSRBGSGBRSG,10,3,SR,100.0,Combined_SB_RG,
Model 1,SGBGSGBRBRBGSGSRSGBG,10,3,SR,100.0,Combined_SB_RG,
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0123002103
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0112303110
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0102212232
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0102033320
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0102013230
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0121310220
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0112100122
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0122212310
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0112022030
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0101000231
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0120222000
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0120322302
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0102222333
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0112010123
Model 2 (Structural),,10,3,BR,100.0,Combined_SB_RG,0122233231
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0001111123
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0122201212
Model 2 (Structural),,10,3,BR,100.0,Combined_SB_RG,0111201011
